CEP_inicial,Latitude_inicial,Longitude_inicial,Dia_do_voo,Hora_inicial,Velocidade,CEP_final,Latitude_final,Longitude_final,Pouso,Hora_final
80030430.0,-49.2550561883948,-25.4146322176159,2,07:26:10,36,80220380.0,-49.2552576680305,-25.4622493336364,NAO,07:37:14
80220380.0,-49.2552576680305,-25.4622493336364,2,07:37:14,40,81200030.0,-49.3305021428569,-25.4339218572309,NAO,07:49:41
81200030.0,-49.3305021428569,-25.4339218572309,2,07:49:41,36,81820330.0,-49.2724628977617,-25.5169970179923,SIM,08:09:49
81820330.0,-49.2724628977617,-25.5169970179923,2,08:09:49,44,81110330.0,-49.2847716627966,-25.5042910428287,NAO,08:12:51
81110330.0,-49.2847716627966,-25.5042910428287,2,08:12:51,76,81350686.0,-49.3400481020638,-25.4936598469491,NAO,08:18:44
81350686.0,-49.3400481020638,-25.4936598469491,2,08:18:44,44,81460210.0,-49.3335573678969,-25.5323146848334,SIM,08:25:47
81460210.0,-49.3335573678969,-25.5323146848334,2,08:25:47,60,81520300.0,-49.2422078636873,-25.4623570695212,NAO,08:36:59
81520300.0,-49.2422078636873,-25.4623570695212,2,08:36:59,92,80820500.0,-49.3021048645381,-25.4107702686398,NAO,08:42:39
80820500.0,-49.3021048645381,-25.4107702686398,2,08:42:39,68,81550150.0,-49.2126543845983,-25.4770778208763,NAO,08:54:32
81550150.0,-49.2126543845983,-25.4770778208763,2,08:54:32,84,80030010.0,-49.266866,-25.424164,NAO,09:00:13
80030010.0,-49.266866,-25.424164,2,09:00:13,68,82860360.0,-49.1953359321141,-25.3827108510463,NAO,09:08:04
82860360.0,-49.1953359321141,-25.3827108510463,2,09:08:04,44,81490170.0,-49.3233641230418,-25.5871765229344,SIM,09:46:36
81490170.0,-49.3233641230418,-25.5871765229344,2,09:46:36,72,82320220.0,-49.3433039997731,-25.4019988462337,NAO,09:57:11
82320220.0,-49.3433039997731,-25.4019988462337,2,09:57:11,84,81170762.0,-49.3290638947933,-25.51557721054,NAO,10:05:39
81170762.0,-49.3290638947933,-25.51557721054,2,10:05:39,56,82200440.0,-49.2639951894228,-25.393875587652,NAO,10:16:52
82200440.0,-49.2639951894228,-25.393875587652,2,10:16:52,52,82320340.0,-49.3477109219031,-25.399199941043,NAO,10:28:31
82320340.0,-49.3477109219031,-25.399199941043,2,10:28:31,40,81110070.0,-49.2938690633352,-25.5038132404982,SIM,10:49:14
81110070.0,-49.2938690633352,-25.5038132404982,2,10:49:14,44,81280125.0,-49.3601132684004,-25.4406127564945,NAO,11:00:10
81280125.0,-49.3601132684004,-25.4406127564945,2,11:00:10,56,81935317.0,-49.2659726298718,-25.5574814410697,NAO,11:18:12
81935317.0,-49.2659726298718,-25.5574814410697,2,11:18:12,52,81200390.0,-49.3440640772759,-25.4331374954389,NAO,11:31:12
81200390.0,-49.3440640772759,-25.4331374954389,2,11:31:12,88,82015640.0,-49.3376898347165,-25.4165571631868,NAO,11:33:13
82015640.0,-49.3376898347165,-25.4165571631868,2,11:33:13,40,81490398.0,-49.3358913045797,-25.5963908362783,SIM,12:07:00
81490398.0,-49.3358913045797,-25.5963908362783,2,12:07:00,48,81710590.0,-49.2606525653797,-25.5021303917908,NAO,12:19:06
81710590.0,-49.2606525653797,-25.5021303917908,2,12:19:06,52,80740199.0,-49.3130473847111,-25.4437465384921,NAO,12:27:11
80740199.0,-49.3130473847111,-25.4437465384921,2,12:27:11,68,81830020.0,-49.2675350633395,-25.5125646322447,NAO,12:35:45
81830020.0,-49.2675350633395,-25.5125646322447,2,12:35:45,36,80320140.0,-49.294537482629,-25.4645330930821,NAO,12:42:40
80320140.0,-49.294537482629,-25.4645330930821,2,12:42:40,72,81510390.0,-49.2421165124832,-25.4685143295265,SIM,12:48:40
81510390.0,-49.2421165124832,-25.4685143295265,2,12:48:40,80,82710330.0,-49.2583428932106,-25.3530998572423,NAO,12:55:18
82710330.0,-49.2583428932106,-25.3530998572423,2,12:55:18,52,81480050.0,-49.3123860165859,-25.5639557671639,SIM,13:22:09
81480050.0,-49.3123860165859,-25.5639557671639,2,13:22:09,48,81530380.0,-49.2300931009572,-25.4625848305665,NAO,13:35:22
81530380.0,-49.2300931009572,-25.4625848305665,2,13:35:22,48,81130270.0,-49.3009496047833,-25.5076616583274,SIM,13:48:05
81130270.0,-49.3009496047833,-25.5076616583274,2,13:48:05,88,82560040.0,-49.2480647046834,-25.385069922368,NAO,13:55:37
82560040.0,-49.2480647046834,-25.385069922368,2,13:55:37,68,80730430.0,-49.293614,-25.430157,NAO,14:02:44
80730430.0,-49.293614,-25.430157,2,14:02:44,76,81470256.0,-49.337872181861,-25.569416591018,NAO,14:14:39
81470256.0,-49.337872181861,-25.569416591018,2,14:14:39,40,80010040.0,-49.2586024190518,-25.433306347953,SIM,14:31:04
80010040.0,-49.2586024190518,-25.433306347953,2,14:31:04,52,81935113.0,-49.253610923113,-25.5499175384761,NAO,14:47:40
81935113.0,-49.253610923113,-25.5499175384761,2,14:47:40,92,82820460.0,-49.2222826851176,-25.4179465264684,NAO,14:54:25
82820460.0,-49.2222826851176,-25.4179465264684,2,14:54:25,76,81452040.0,-49.3545044201704,-25.4998370213564,NAO,15:09:00
81452040.0,-49.3545044201704,-25.4998370213564,2,15:09:00,48,81940200.0,-49.3005594977692,-25.5579957528383,NAO,15:21:09
81940200.0,-49.3005594977692,-25.5579957528383,2,15:21:09,60,81480216.0,-49.3274865425991,-25.5592031642591,NAO,15:25:14
81480216.0,-49.3274865425991,-25.5592031642591,2,15:25:14,68,82650320.0,-49.2469140011033,-25.3737566254647,SIM,15:37:54
82650320.0,-49.2469140011033,-25.3737566254647,2,15:37:54,40,82930030.0,-49.2056962318778,-25.4568138879969,NAO,15:54:31
82930030.0,-49.2056962318778,-25.4568138879969,2,15:54:31,40,80620340.0,-49.2732563508827,-25.4540745011999,SIM,16:06:11
80620340.0,-49.2732563508827,-25.4540745011999,2,16:06:11,44,81550490.0,-49.2054049266086,-25.4924960602498,NAO,16:19:05
81550490.0,-49.2054049266086,-25.4924960602498,2,16:19:05,44,82315390.0,-49.3604395248946,-25.4096763580765,NAO,16:41:47
82315390.0,-49.3604395248946,-25.4096763580765,2,16:41:47,44,81280048.0,-49.361230111158,-25.4357441112655,NAO,16:46:53
81280048.0,-49.361230111158,-25.4357441112655,2,16:46:53,36,81910030.0,-49.2685374132639,-25.5361378385276,SIM,17:13:22
81910030.0,-49.2685374132639,-25.5361378385276,2,17:13:22,80,82630100.0,-49.2161803524462,-25.3812692780083,SIM,17:22:41
82630100.0,-49.2161803524462,-25.3812692780083,2,17:22:41,88,80045265.0,-49.248243,-25.430376,SIM,17:27:45
80045265.0,-49.248243,-25.430376,2,17:27:45,92,81260430.0,-49.3605952475877,-25.4650355019742,NAO,17:37:25
81260430.0,-49.3605952475877,-25.4650355019742,2,17:37:25,84,80530040.0,-49.2723748799989,-25.4219925091123,SIM,17:45:18
80530040.0,-49.2723748799989,-25.4219925091123,2,17:45:18,84,81590568.0,-49.1981543961654,-25.4865484092882,NAO,17:54:00
81590568.0,-49.1981543961654,-25.4865484092882,2,17:54:00,88,81910570.0,-49.2586402382427,-25.5339269047986,SIM,18:00:49
81910570.0,-49.2586402382427,-25.5339269047986,2,18:00:49,68,80510325.0,-49.2790781765687,-25.4198156998607,NAO,18:07:51
80510325.0,-49.2790781765687,-25.4198156998607,2,18:07:51,36,81925567.0,-49.2689271518567,-25.5516863820233,SIM,18:46:44
81925567.0,-49.2689271518567,-25.5516863820233,2,18:46:44,64,80810200.0,-49.288206501747,-25.411751607072,NAO,18:55:50
80810200.0,-49.288206501747,-25.411751607072,2,18:55:50,68,81260350.0,-49.3499515999385,-25.4831184667002,NAO,19:05:37
81260350.0,-49.3499515999385,-25.4831184667002,3,06:00:00,80,81030380.0,-49.2772121864255,-25.4878438322257,NAO,06:06:49
81030380.0,-49.2772121864255,-25.4878438322257,3,06:06:49,36,80220200.0,-49.2801499774178,-25.4672406908201,NAO,06:09:53
80220200.0,-49.2801499774178,-25.4672406908201,3,06:09:53,64,82930428.0,-49.2033254441496,-25.4555670002028,NAO,06:18:13
82930428.0,-49.2033254441496,-25.4555670002028,3,06:18:13,80,81470300.0,-49.3365443994341,-25.575776177431,NAO,06:34:27
81470300.0,-49.3365443994341,-25.575776177431,3,06:34:27,88,81240490.0,-49.3358291909315,-25.4789005295822,NAO,06:39:44
81240490.0,-49.3358291909315,-25.4789005295822,3,06:39:44,60,82710082.0,-49.2518749086381,-25.3647667288143,NAO,06:51:30
82710082.0,-49.2518749086381,-25.3647667288143,3,06:51:30,88,81580050.0,-49.228041043675,-25.4911705040405,SIM,07:00:28
81580050.0,-49.228041043675,-25.4911705040405,3,07:00:28,60,81280190.0,-49.3594793608748,-25.4369027676958,SIM,07:15:32
81280190.0,-49.3594793608748,-25.4369027676958,3,07:15:32,48,81210070.0,-49.3268133751402,-25.4427148131246,NAO,07:21:15
81210070.0,-49.3268133751402,-25.4427148131246,3,07:21:15,68,81560730.0,-49.2242420001757,-25.476983000057,NAO,07:32:59
81560730.0,-49.2242420001757,-25.476983000057,3,07:32:59,68,81030100.0,-49.2706444334036,-25.4832995440473,SIM,07:38:44
81030100.0,-49.2706444334036,-25.4832995440473,3,07:38:44,68,82600640.0,-49.2162511520761,-25.3981885762214,NAO,07:46:28
82600640.0,-49.2162511520761,-25.3981885762214,3,07:46:28,44,82100620.0,-49.3027649999663,-25.3924350555573,SIM,07:59:56
82100620.0,-49.3027649999663,-25.3924350555573,3,07:59:56,88,81200400.0,-49.3437087449233,-25.4338997893551,NAO,08:05:12
81200400.0,-49.3437087449233,-25.4338997893551,3,08:05:12,80,81030180.0,-49.2647633349843,-25.4763519008138,NAO,08:13:42
81030180.0,-49.2647633349843,-25.4763519008138,3,08:13:42,48,81250720.0,-49.3385838295334,-25.4815524899573,NAO,08:24:50
81250720.0,-49.3385838295334,-25.4815524899573,3,08:24:50,60,81910230.0,-49.2672872891657,-25.5278877309024,NAO,08:35:17
81910230.0,-49.2672872891657,-25.5278877309024,3,08:35:17,36,81330400.0,-49.3264242140685,-25.488124875843,NAO,08:49:15
81330400.0,-49.3264242140685,-25.488124875843,3,08:49:15,72,81350713.0,-49.3371662352983,-25.496557235688,NAO,08:51:53
81350713.0,-49.3371662352983,-25.496557235688,3,08:51:53,96,82410510.0,-49.3291631561723,-25.3732418954991,SIM,08:58:00
82410510.0,-49.3291631561723,-25.3732418954991,3,08:58:00,48,81935382.0,-49.2516978436888,-25.5594363219748,SIM,09:19:30
81935382.0,-49.2516978436888,-25.5594363219748,3,09:19:30,60,81020420.0,-49.2840872729491,-25.4920196819718,NAO,09:26:20
81020420.0,-49.2840872729491,-25.4920196819718,3,09:26:20,76,81305650.0,-49.3233459999556,-25.5010554166774,NAO,09:31:44
81305650.0,-49.3233459999556,-25.5010554166774,3,09:31:44,76,82200200.0,-49.2691160623079,-25.3904101875436,NAO,09:39:44
82200200.0,-49.2691160623079,-25.3904101875436,3,09:39:44,76,82310354.0,-49.3504773749079,-25.428940781271,NAO,09:48:43
82310354.0,-49.3504773749079,-25.428940781271,3,09:48:43,52,81650050.0,-49.2359919665457,-25.4935107881037,SIM,10:06:34
81650050.0,-49.2359919665457,-25.4935107881037,3,10:06:34,96,81580020.0,-49.2241676667996,-25.4882127778241,NAO,10:08:35
81580020.0,-49.2241676667996,-25.4882127778241,3,10:08:35,60,81220100.0,-49.3256450071633,-25.4557352095908,NAO,10:20:27
81220100.0,-49.3256450071633,-25.4557352095908,3,10:20:27,92,82720410.0,-49.232263242608,-25.3531644337776,SIM,10:29:13
82720410.0,-49.232263242608,-25.3531644337776,3,10:29:13,48,81220090.0,-49.3149024143145,-25.4539760939031,SIM,10:47:51
81220090.0,-49.3149024143145,-25.4539760939031,3,10:47:51,60,81490360.0,-49.3331487620149,-25.5959260714452,NAO,11:02:55
81490360.0,-49.3331487620149,-25.5959260714452,3,11:02:55,48,81850680.0,-49.242931161733,-25.54320816435,NAO,11:15:47
81850680.0,-49.242931161733,-25.54320816435,3,11:15:47,60,81330220.0,-49.3355483883407,-25.4843712333489,NAO,11:26:57
81330220.0,-49.3355483883407,-25.4843712333489,3,11:26:57,76,82130470.0,-49.2754817420857,-25.3763584193723,SIM,11:35:10
82130470.0,-49.2754817420857,-25.3763584193723,3,11:35:10,56,80045160.0,-49.257747950136,-25.4227240373025,NAO,11:40:39
80045160.0,-49.257747950136,-25.4227240373025,3,11:40:39,44,82630290.0,-49.2091730004846,-25.371866280235,NAO,11:49:25
82630290.0,-49.2091730004846,-25.371866280235,3,11:49:25,48,81480160.0,-49.3151440012031,-25.5588432106598,SIM,12:17:34
81480160.0,-49.3151440012031,-25.5588432106598,3,12:17:34,96,82410316.0,-49.328439749977,-25.3849215000131,NAO,12:26:18
82410316.0,-49.328439749977,-25.3849215000131,3,12:26:18,52,82640640.0,-49.2403618225252,-25.3715918782937,SIM,12:37:36
82640640.0,-49.2403618225252,-25.3715918782937,3,12:37:36,80,82650210.0,-49.2479747365615,-25.3791995264108,NAO,12:39:38
82650210.0,-49.2479747365615,-25.3791995264108,3,12:39:38,52,82220610.0,-49.2682819283134,-25.3725747859642,NAO,12:43:16
82220610.0,-49.2682819283134,-25.3725747859642,3,12:43:16,96,81570360.0,-49.2299521315212,-25.4857325221308,NAO,12:51:09
81570360.0,-49.2299521315212,-25.4857325221308,3,12:51:09,68,81480141.0,-49.3231896667236,-25.5562061667039,NAO,13:03:24
81480141.0,-49.3231896667236,-25.5562061667039,3,13:03:24,36,81650080.0,-49.2377486322425,-25.4844139677447,SIM,13:18:59
81650080.0,-49.2377486322425,-25.4844139677447,3,13:18:59,72,81935474.0,-49.245334911631,-25.5506130891455,NAO,13:25:18
81935474.0,-49.245334911631,-25.5506130891455,3,13:25:18,44,81750280.0,-49.2444025714353,-25.5127671393955,NAO,13:29:17
81750280.0,-49.2444025714353,-25.5127671393955,3,13:29:17,56,80320110.0,-49.2942522954363,-25.4631702181385,NAO,13:36:33
80320110.0,-49.2942522954363,-25.4631702181385,3,13:36:33,48,80820480.0,-49.3017935380524,-25.4089459015341,NAO,13:41:36
80820480.0,-49.3017935380524,-25.4089459015341,3,13:41:36,72,81450520.0,-49.3442928001987,-25.4951670667098,NAO,13:50:33
81450520.0,-49.3442928001987,-25.4951670667098,3,13:50:33,76,82960472.0,-49.212058299976,-25.4657194667099,NAO,14:02:57
82960472.0,-49.212058299976,-25.4657194667099,3,14:02:57,64,80045270.0,-49.2498379452408,-25.4269458358083,SIM,14:08:17
80045270.0,-49.2498379452408,-25.4269458358083,3,14:08:17,68,81750200.0,-49.243793374824,-25.5157135001734,NAO,14:16:48
81750200.0,-49.243793374824,-25.5157135001734,3,14:16:48,44,81110522.0,-49.2915096538449,-25.5094403220237,NAO,14:24:42
81110522.0,-49.2915096538449,-25.5094403220237,3,14:24:42,68,81010130.0,-49.273155691529,-25.4764195588417,SIM,14:28:16
81010130.0,-49.273155691529,-25.4764195588417,3,14:28:16,64,81470175.0,-49.3334716250438,-25.567186531582,NAO,14:39:48
81470175.0,-49.3334716250438,-25.567186531582,3,14:39:48,36,81670110.0,-49.2505578410785,-25.4977016024349,SIM,14:53:54
81670110.0,-49.2505578410785,-25.4977016024349,3,14:53:54,76,80250220.0,-49.2778677639266,-25.4401651682037,NAO,14:58:26
80250220.0,-49.2778677639266,-25.4401651682037,3,14:58:26,48,80820520.0,-49.2963300390619,-25.4127105464884,NAO,15:02:20
80820520.0,-49.2963300390619,-25.4127105464884,3,15:02:20,96,81570001.0,-49.2238324147895,-25.4825630317905,NAO,15:10:06
81570001.0,-49.2238324147895,-25.4825630317905,3,15:10:06,92,80215542.0,-49.2503976846901,-25.4467561755521,NAO,15:13:31
80215542.0,-49.2503976846901,-25.4467561755521,3,15:13:31,80,81590578.0,-49.2000059999854,-25.4926040000053,NAO,15:20:10
81590578.0,-49.2000059999854,-25.4926040000053,3,15:20:10,40,81920735.0,-49.2615212690534,-25.5391678846873,NAO,15:34:06
81920735.0,-49.2615212690534,-25.5391678846873,3,15:34:06,40,82710320.0,-49.2588717776273,-25.3550854904869,NAO,15:49:53
